Quality Attribute,Resource utilization,Co-existence,Installability,Availability,Authenticity,Appropriateness recognizability,User interface aesthetics,Time behaviour,Functional completeness,Modifiability,Learnability,Recoverability,Operability,Modularity,Maturity,Functional correctness,Confidentiality,Functional appropriateness,Adaptability,Capacity,Reusability,Fault tolerance,Integrity,Accessibility,User error protection,Testability,Analysability,Interoperability,Accountability,Non-repudiation,Replaceability
anaconda,Medium,Medium,Medium,Low,High,Medium,Medium,Medium,Medium,High,Medium,Medium,High,Low,Medium,,Low,,Medium,High,,High,Medium,,,Low,,,,,
beautifulsoup,Medium,High,Medium,Medium,Medium,Medium,Low,Medium,Low,Medium,Medium,,Low,,High,Medium,Low,Medium,,Medium,Medium,Medium,Medium,Medium,Low,,Medium,,,,
django,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,High,Medium,Medium,High,Medium,Medium,Medium,Medium,Medium,Medium,High,High,Medium,Medium,High,Medium,Medium,Medium,,Medium,Medium,
flask,,Medium,High,,Low,High,Medium,High,,Low,High,,High,,Medium,,Low,,,Medium,,Medium,,,,,,,,,
gensim,,Medium,,High,,,,High,,,High,,High,,,,,,,,,,,,,,,,,,
kafka-python,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,,Medium,Medium,,Medium,Medium,Medium,Medium,Medium,Medium,
keras,Medium,Medium,Medium,Medium,,Medium,High,Medium,,Medium,High,Medium,High,High,Medium,Medium,Low,Low,Medium,Medium,High,High,,,,,,,,,
mariadb,,High,High,High,,Low,Medium,High,High,High,High,Medium,High,,High,,Medium,,,High,,High,Medium,High,,,,High,,,
matplotlib,Medium,Medium,Medium,Low,,Medium,Medium,Medium,,Medium,Medium,Medium,High,Medium,Medium,Medium,Medium,Medium,Medium,Low,,Medium,,Medium,Low,,,,,,
mongodb,Medium,Medium,Medium,Medium,Medium,Medium,Medium,High,High,High,High,Medium,High,Medium,High,Medium,Medium,Medium,High,High,Medium,High,Medium,High,Medium,,Medium,Medium,Medium,Medium,
mysql,Medium,Medium,Medium,Medium,Medium,Medium,High,Medium,Medium,High,High,Medium,High,Medium,High,Medium,Medium,Medium,High,Medium,Medium,Medium,Medium,High,Low,,Medium,Medium,Low,Low,
nltk,Medium,High,High,Medium,,High,,Medium,,,High,,High,,,,,,,Low,,,,,,,,,,,
numpy,Medium,Medium,Medium,Low,Medium,Medium,Medium,Medium,High,High,Medium,Medium,High,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Low,High,,,
opencv-python,Medium,Medium,Medium,Low,High,Medium,Medium,Medium,,Medium,Medium,Low,High,,Medium,Medium,Medium,Medium,High,Medium,High,Medium,Medium,Medium,,,,Medium,,,
opengl,Medium,Medium,Medium,Low,Low,High,Medium,Medium,,Medium,Medium,Low,,Medium,High,Low,Medium,,Medium,Medium,,Low,Medium,Medium,Medium,,,,,,
pandas,Medium,Medium,Medium,Low,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,High,Medium,Medium,Medium,Medium,Medium,High,Medium,Medium,Medium,Medium,High,Medium,Medium,Medium,,,,
dash,,High,High,,,Medium,High,Medium,,Medium,Low,,High,Medium,High,,,,,Low,,Medium,,Low,Low,,,,,,
pygame,High,,,,,High,High,High,,,High,,High,,High,,,,High,,,,,,,,,,,,
pyspark,Medium,Low,Medium,Medium,Low,Medium,Low,Medium,,Medium,,,,Medium,Medium,Medium,,Medium,Medium,Medium,,Medium,,Medium,,,,,,,
pillow,,,,,,High,,High,,,,,High,Low,,,,,,,,,,,,,,,,,
torch,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Low,High,Medium,,High,High,High,,,,Medium,Medium,,High,,,,,,,,,
redis,High,High,High,Medium,High,Medium,Low,High,High,High,Medium,Medium,High,,High,,,,,Medium,,High,,,,,,,,,
requests,,,High,,,,,,,,,,High,,,,,,,,,,,,,,,,,,
scikit-learn,Low,High,High,High,,High,High,Medium,High,Medium,Medium,,High,,High,,,,Medium,High,,High,,,,,,,,,
scipy,Medium,Medium,Medium,Low,,High,Medium,Medium,Medium,Medium,Medium,Medium,,,High,Medium,Medium,Medium,,Medium,,High,,,,Medium,Medium,High,,,
scrapy,Medium,High,Medium,Medium,Low,Medium,Medium,Medium,,High,Medium,,High,,High,Medium,,Medium,,Medium,,High,,,,Medium,,,,,
selenium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,High,Low,Medium,High,Low,High,Medium,Medium,Medium,Medium,Low,Low,Low,Medium,,,,,
spark,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,High,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,,
db-sqlite3,Medium,High,High,Medium,,High,High,High,High,High,High,Medium,High,,High,,Medium,,High,Medium,,High,Medium,,,,,,,,
tensorflow,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Low,Medium,Medium,Medium,High,Medium,High,Medium,Medium,Medium,Medium,Medium,Medium,High,Low,Medium,High,,,,,,
